hEntrez	humanSymbol	mouse_symbols	log2fc	log2fc_mean	adj_p_value	n_mouse_map	sign_flip	study	strict	sensitivity	unique_mapping
http://www.ncbi.nlm.nih.gov/gene/152404		Igsf11	1.156	1.156	3.02766e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/254439		2010003K11Rik	1.1542	1.1542	8.92989e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/9760		Tox	1.1542	1.1542	6.69068e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/2081		Ern1	-1.1529	-1.1529	0.000140772	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/80339		Pnpla3	-1.1519	-1.1519	0.0323652	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/65991		Fundc2	1.147	1.147	0.000923004	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/50486		G0s2	1.136	1.136	0.00153049	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/10249		Gm4952	1.1296	1.1296	0.00156571	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/79733		E2f8	1.1289	1.1289	0.0013885	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/57552		Nceh1	1.1282	1.1282	0.000267698	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/10440		Timm17a	1.1235	1.1235	1.55839e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/55908		Angptl8	-1.1209	-1.1209	0.0622214	1	False	OSD-25	False	False	True
http://www.ncbi.nlm.nih.gov/gene/10963		Stip1	-1.1202	-1.1202	2.8774e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/387775		Slc22a30	-1.1145	-1.1145	3.17098e-05	1	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/387601		Slc22a26|Slc22a30	-1.1145	-0.855	3.17098e-05	2	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/114571		Slc22a26|Slc22a30	-1.1145	-0.855	3.17098e-05	2	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/26291		Fgf21	1.1127	1.1127	1.49133e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/622		Bdh1	1.1071	1.1071	0.000486363	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/5824		Pex19	1.107	1.107	2.04299e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/1592		Cyp26a1	-1.1063	-1.1063	0.00627134	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/8504		Pex3	1.1049	1.1049	0.000101121	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/1942		Efna1	-1.087	-1.087	0.000526357	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/5238		Pgm3	1.0814	1.0814	0.00335912	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/26057		Ankrd17	1.0808	1.0808	0.00437265	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/729085		Gask1a	-1.0779	-1.0779	0.00607222	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/8800		Pex11a	1.0775	1.0775	5.80532e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/375298		Cerkl	1.0727	1.0727	0.000476236	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/54884		Retsat	1.0714	1.0714	0.000275172	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/23212		Rrs1	1.0682	1.0682	0.000475725	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/3419		Idh3a	1.0621	1.0621	7.56811e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/440503		Plin5	1.0605	1.0605	1.69994e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/8048		Csrp3	1.0603	1.0603	0.000120305	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/2590		Galnt2	1.0574	1.0574	3.38641e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/163351		Gbp11|Gbp8	-1.0555	-0.8523	0.00295845	2	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/63899		Nsun3	1.0528	1.0528	0.000528475	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/55337		Shfl	-1.0429	-1.0429	0.0048024	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/3927		Lasp1	-1.0351	-1.0351	1.49133e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/148		Adra1a	1.0338	1.0338	7.44607e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/55915		Lancl2	1.0314	1.0314	1.75643e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/1384		Crat	1.0291	1.0291	4.12544e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/202		Crybg1	1.0267	1.0267	0.000901782	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/79694		Manea	1.0237	1.0237	0.00011982	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/160760		Pptc7	1.0233	1.0233	0.000550902	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/1153		Cirbp	1.0212	1.0212	0.000319783	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/130872		Ahsa2	-1.0209	-1.0209	2.81179e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/79791		Fbxo31	1.0152	1.0152	1.26288e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/57546		Pdp2	1.0138	1.0138	5.41103e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/9121		Slc16a5	1.0128	1.0128	0.000171757	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/89874		Slc25a21	1.0125	1.0125	0.000324631	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/8507		Enc1	1.0122	1.0122	3.53789e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/83862		Tmem120a	1.011	1.011	1.05087e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/55959		Sulf2	1.0099	1.0099	1.96444e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/648791		Ppp1r3g	-1.0089	-1.0089	0.0386272	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/345611		Irgm1|Irgm2	-1.0039	-0.7949	0.0404764	2	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/1861		Tor1a	1.002	1.002	9.69685e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/379		Arl4d	-1.0014	-1.0014	0.000324631	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/10050		Slc17a4	-1.0006	-1.0006	0.000119764	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/54463		Retreg1	0.9984	0.9984	0.00508626	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/2066		Erbb4	0.9966	0.9966	0.00951809	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/58488		Pctp	0.9941	0.9941	0.00056837	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/3659		Irf1	-0.9926	-0.9926	0.00151808	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/84925		Slc49a4	0.9918	0.9918	5.55622e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/79086		Smim7	0.9912	0.9912	0.0041202	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/9518		Gdf15	-0.9911	-0.9911	0.00484983	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/948		Cd36	0.9879	0.9879	0.0498475	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/1958		Egr1	-0.9872	-0.9872	0.017573	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/106480297		Them7	0.9853	0.9853	0.000777915	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/285172		Fam126b	0.9844	0.9844	0.000112583	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/113829		Slc35a4	0.9836	0.9836	0.000357923	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/4071		Tm4sf1	0.982	0.982	0.0012142	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/79712		Gtdc1	0.9797	0.9797	0.00772914	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/3554		Il1r1	0.9733	0.9733	0.000475725	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/51283		Bfar	0.9663	0.9663	1.74911e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/123879		Dcun1d3	0.9661	0.9661	8.31401e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/8891		Eif2b3	0.9658	0.9658	4.74402e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/10005		Acot8	0.9646	0.9646	2.8774e-07	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/8864		Per2	-0.9645	-0.9645	0.000253181	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/8604		Slc25a12	0.964	0.964	0.000111766	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/3397		Id1	0.9626	0.9626	0.00132569	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/7335		Ube2v1	-0.9603	-0.9603	0.00114471	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/9388		Lipg	0.9542	0.9542	0.000118163	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/58526		Mid1ip1	-0.952	-0.952	0.000308602	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/2169		Fabp2	0.9452	0.9452	0.0127747	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/57406		Abhd6	0.943	0.943	2.19839e-07	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/23600		Amacr	0.942	0.942	8.23293e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/283377		Spryd4	0.9411	0.9411	5.55622e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/3914		Lamb3	0.9382	0.9382	0.000281884	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/84866		Tmem25	-0.9361	-0.9361	0.00126306	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/255027		Mpv17l	0.9357	0.9357	0.0258582	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/81034		Slc25a32	0.9323	0.9323	0.00080156	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/729359		Plin4	0.9311	0.9311	0.0034428	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/9409		Pex16	0.9298	0.9298	2.38654e-07	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/23313		5031439G07Rik	0.9281	0.9281	2.38191e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/91947		Arrdc4	-0.9273	-0.9273	0.00233962	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/55631		Lrrc40	0.9256	0.9256	0.00430924	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/9014		Taf1b	0.9242	0.9242	0.000404619	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/1733		Dio1	0.9226	0.9226	0.000474751	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/8671		Slc4a4	0.9213	0.9213	1.79832e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/6764		Denn2b	0.9208	0.9208	0.000207463	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/1962		Ehhadh	0.9197	0.9197	6.68513e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/54971		Banp	-0.9175	-0.9175	0.00376221	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/27284		Sult1b1	0.9163	0.9163	0.0214192	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/255738		Pcsk9	-0.9161	-0.9161	0.000679363	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/84942		Wdr73	0.9152	0.9152	0.000332032	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/128486		Fitm2	0.9127	0.9127	9.20916e-06	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/23024		Pdzrn3	0.9113	0.9113	9.9437e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/285521		Cox18	0.9084	0.9084	0.00167869	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/10579		Tacc2	0.9053	0.9053	9.51518e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/138241		1110059E24Rik	0.9053	0.9053	0.000495032	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/29914		Ubiad1	0.9053	0.9053	2.09722e-06	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/23250		Atp11a	-0.9037	-0.9037	0.00142418	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/788		Slc25a20	0.9029	0.9029	1.49133e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/84869		Cbr4	0.9022	0.9022	0.000495032	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/253558		Lclat1	0.9013	0.9013	0.00194584	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/116254		Ginm1	0.9013	0.9013	0.00224434	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/23621		Bace1	0.9002	0.9002	1.75643e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/10607		Tbl3	0.8994	0.8994	8.40625e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/10912		Gadd45g	0.8987	0.8987	0.014778	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/79156		Plekhf1	-0.8979	-0.8979	0.00755432	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/23259		Ddhd2	0.8977	0.8977	6.70388e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/389203		Smim20	0.8973	0.8973	0.000322519	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/55070		Det1	0.8967	0.8967	6.56575e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/84331		Mcrip2	0.8956	0.8956	1.74911e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/687		Klf9	0.8923	0.8923	0.000160725	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/481		Atp1b1	0.8922	0.8922	0.00106629	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/6258		Rxrg	0.8887	0.8887	0.000417234	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/54851		Ankrd49	0.8884	0.8884	0.000143069	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/2035		Epb41	0.8876	0.8876	1.94471e-06	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/85302		Fbf1	0.8833	0.8833	0.0578417	1	False	OSD-25	False	False	True
http://www.ncbi.nlm.nih.gov/gene/3627		Cxcl10	-0.8791	-0.8791	0.0779116	1	False	OSD-25	False	False	True
http://www.ncbi.nlm.nih.gov/gene/10651		Mtx2	0.8778	0.8778	0.000380107	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/56681		Sar1a	0.8775	0.8775	0.0546064	1	False	OSD-25	False	False	True
http://www.ncbi.nlm.nih.gov/gene/116236		Abhd15	0.8774	0.8774	0.000118163	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/10025		Med16	0.8733	0.8733	0.00019239	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/388324		Inca1	0.8733	0.8733	0.00124494	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/376940		Zc3h6	0.8732	0.8732	0.000204518	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/1653		Ddx1	0.8729	0.8729	0.000130889	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/123		Plin2	0.8718	0.8718	6.68513e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/440590		Zyg11a	0.8658	0.8658	0.000942139	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/8708		B3galt1	0.8608	0.8608	0.0064511	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/126119		Josd2	-0.8603	-0.8603	0.00313714	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/84321		Thoc3	0.86	0.86	0.00184021	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/11345		Gabarapl2	0.8593	0.8593	0.000334629	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/3934		Lcn2	0.8587	0.8587	0.0270153	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/7993		Ubxn8	0.8581	0.8581	0.00323403	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/114882		Osbpl8	-0.8578	-0.8578	2.04179e-05	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/3399		Id3	0.8567	0.8567	0.0157046	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/6428		Srsf3	0.8565	0.8565	0.0446175	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/10864		Slc22a7	0.8561	0.8561	0.0152109	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/23321		Trim2	0.8536	0.8536	0.00128339	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/57019		Ciapin1	0.8526	0.8526	0.000198282	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/84641		Mfsd14b	0.851	0.851	0.000987387	1	False	OSD-25	False	True	True
http://www.ncbi.nlm.nih.gov/gene/3284		Hsd3b2|Hsd3b5|Hsd3b6	-0.8503	-0.6037	0.0373223	3	False	OSD-25	False	True	False
http://www.ncbi.nlm.nih.gov/gene/3283		Hsd3b2|Hsd3b5|Hsd3b6	-0.8503	-0.6037	0.0373223	3	False	OSD-25	False	True	False
