human	g2	protein	term	label	family
http://www.ncbi.nlm.nih.gov/gene/10891	https://www.ensembl.org/id/ENSG00000109819	http://purl.uniprot.org/uniprot/Q9UBK2	http://purl.obolibrary.org/obo/GO_0019395	fatty acid oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/10891	https://www.ensembl.org/id/ENSG00000109819	http://purl.uniprot.org/uniprot/Q9UBK2	http://purl.obolibrary.org/obo/GO_0032922	circadian regulation of gene expression	GO BP
http://www.ncbi.nlm.nih.gov/gene/10891	https://www.ensembl.org/id/ENSG00000109819	http://purl.uniprot.org/uniprot/Q9UBK2	http://purl.obolibrary.org/obo/GO_0042752	regulation of circadian rhythm	GO BP
http://www.ncbi.nlm.nih.gov/gene/10891	https://www.ensembl.org/id/ENSG00000109819	http://purl.uniprot.org/uniprot/Q9UBK2	http://purl.obolibrary.org/obo/GO_0046321	positive regulation of fatty acid oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/10908	https://www.ensembl.org/id/ENSG00000032444	http://purl.uniprot.org/uniprot/Q8IY17	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10908	https://www.ensembl.org/id/ENSG00000032444	http://purl.uniprot.org/uniprot/Q8IY17	http://purl.obolibrary.org/obo/GO_0016042	lipid catabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10908	https://www.ensembl.org/id/ENSG00000032444	http://purl.uniprot.org/uniprot/Q8IY17	http://purl.obolibrary.org/obo/GO_0046475	glycerophospholipid catabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10908	https://www.ensembl.org/id/ENSG00000032444	http://purl.uniprot.org/uniprot/Q8IY17	https://identifiers.org/reactome/R-HSA-6814848	Glycerophospholipid catabolism	Reactome
http://www.ncbi.nlm.nih.gov/gene/10955	https://www.ensembl.org/id/ENSG00000132824	http://purl.uniprot.org/uniprot/Q13530	http://purl.obolibrary.org/obo/GO_0017121	plasma membrane phospholipid scrambling	GO BP
http://www.ncbi.nlm.nih.gov/gene/10965	https://www.ensembl.org/id/ENSG00000119673	http://purl.uniprot.org/uniprot/P49753	http://purl.obolibrary.org/obo/GO_0000038	very long-chain fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10965	https://www.ensembl.org/id/ENSG00000119673	http://purl.uniprot.org/uniprot/P49753	http://purl.obolibrary.org/obo/GO_0001676	long-chain fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10965	https://www.ensembl.org/id/ENSG00000119673	http://purl.uniprot.org/uniprot/P49753	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10965	https://www.ensembl.org/id/ENSG00000119673	http://purl.uniprot.org/uniprot/P49753	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10965	https://www.ensembl.org/id/ENSG00000119673	http://purl.uniprot.org/uniprot/P49753	https://identifiers.org/reactome/R-HSA-77289	Mitochondrial Fatty Acid Beta-Oxidation	Reactome
http://www.ncbi.nlm.nih.gov/gene/10994	https://www.ensembl.org/id/ENSG00000105135	http://purl.uniprot.org/uniprot/A1L0T0	http://purl.obolibrary.org/obo/GO_0001561	fatty acid alpha-oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/10994	https://www.ensembl.org/id/ENSG00000105135	http://purl.uniprot.org/uniprot/A1L0T0	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/10994	https://www.ensembl.org/id/ENSG00000105135	http://purl.uniprot.org/uniprot/A1L0T0	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0001561	fatty acid alpha-oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0001676	long-chain fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0006635	fatty acid beta-oxidation	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0006869	lipid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0015909	long-chain fatty acid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0033540	fatty acid beta-oxidation using acyl-CoA oxidase	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	http://purl.obolibrary.org/obo/GO_0097089	methyl-branched fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	https://identifiers.org/reactome/R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Reactome
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	https://identifiers.org/reactome/R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	Reactome
http://www.ncbi.nlm.nih.gov/gene/11001	https://www.ensembl.org/id/ENSG00000140284	http://purl.uniprot.org/uniprot/O14975	https://identifiers.org/reactome/R-HSA-390247	Beta-oxidation of very long chain fatty acids	Reactome
http://www.ncbi.nlm.nih.gov/gene/1109	https://www.ensembl.org/id/ENSG00000198610	http://purl.uniprot.org/uniprot/P17516	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/1109	https://www.ensembl.org/id/ENSG00000198610	http://purl.uniprot.org/uniprot/P17516	https://identifiers.org/reactome/R-HSA-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	Reactome
http://www.ncbi.nlm.nih.gov/gene/1109	https://www.ensembl.org/id/ENSG00000198610	http://purl.uniprot.org/uniprot/P17516	https://identifiers.org/reactome/R-HSA-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	Reactome
http://www.ncbi.nlm.nih.gov/gene/1109	https://www.ensembl.org/id/ENSG00000198610	http://purl.uniprot.org/uniprot/P17516	https://identifiers.org/reactome/R-HSA-193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	Reactome
http://www.ncbi.nlm.nih.gov/gene/1119	https://www.ensembl.org/id/ENSG00000110721	http://purl.uniprot.org/uniprot/P35790	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/1119	https://www.ensembl.org/id/ENSG00000110721	http://purl.uniprot.org/uniprot/P35790	http://purl.obolibrary.org/obo/GO_0006869	lipid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/1119	https://www.ensembl.org/id/ENSG00000110721	http://purl.uniprot.org/uniprot/P35790	http://purl.obolibrary.org/obo/GO_0008654	phospholipid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/112724	https://www.ensembl.org/id/ENSG00000160439	http://purl.uniprot.org/uniprot/Q8NBN7	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11332	https://www.ensembl.org/id/ENSG00000097021	http://purl.uniprot.org/uniprot/O00154	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11332	https://www.ensembl.org/id/ENSG00000097021	http://purl.uniprot.org/uniprot/O00154	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11332	https://www.ensembl.org/id/ENSG00000097021	http://purl.uniprot.org/uniprot/O00154	http://purl.obolibrary.org/obo/GO_0051792	medium-chain fatty acid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11332	https://www.ensembl.org/id/ENSG00000097021	http://purl.uniprot.org/uniprot/O00154	https://identifiers.org/reactome/R-HSA-77289	Mitochondrial Fatty Acid Beta-Oxidation	Reactome
http://www.ncbi.nlm.nih.gov/gene/11343	https://www.ensembl.org/id/ENSG00000074416	http://purl.uniprot.org/uniprot/Q99685	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11343	https://www.ensembl.org/id/ENSG00000074416	http://purl.uniprot.org/uniprot/Q99685	http://purl.obolibrary.org/obo/GO_0006631	fatty acid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11343	https://www.ensembl.org/id/ENSG00000074416	http://purl.uniprot.org/uniprot/Q99685	http://purl.obolibrary.org/obo/GO_0006633	fatty acid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11343	https://www.ensembl.org/id/ENSG00000074416	http://purl.uniprot.org/uniprot/Q99685	http://purl.obolibrary.org/obo/GO_0016042	lipid catabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11343	https://www.ensembl.org/id/ENSG00000074416	http://purl.uniprot.org/uniprot/Q99685	http://purl.obolibrary.org/obo/GO_0019433	triglyceride catabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/11343	https://www.ensembl.org/id/ENSG00000074416	http://purl.uniprot.org/uniprot/Q99685	https://identifiers.org/reactome/R-HSA-163560	Triglyceride catabolism	Reactome
http://www.ncbi.nlm.nih.gov/gene/114882	https://www.ensembl.org/id/ENSG00000091039	http://purl.uniprot.org/uniprot/Q9BZF1	http://purl.obolibrary.org/obo/GO_0006869	lipid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/114882	https://www.ensembl.org/id/ENSG00000091039	http://purl.uniprot.org/uniprot/Q9BZF1	http://purl.obolibrary.org/obo/GO_0015914	phospholipid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/114882	https://www.ensembl.org/id/ENSG00000091039	http://purl.uniprot.org/uniprot/Q9BZF1	http://purl.obolibrary.org/obo/GO_0070328	triglyceride homeostasis	GO BP
http://www.ncbi.nlm.nih.gov/gene/114882	https://www.ensembl.org/id/ENSG00000091039	http://purl.uniprot.org/uniprot/Q9BZF1	http://purl.obolibrary.org/obo/GO_0120010	intermembrane phospholipid transfer	GO BP
http://www.ncbi.nlm.nih.gov/gene/114883	https://www.ensembl.org/id/ENSG00000117859	http://purl.uniprot.org/uniprot/Q96SU4	http://purl.obolibrary.org/obo/GO_0006649	phospholipid transfer to membrane	GO BP
http://www.ncbi.nlm.nih.gov/gene/114883	https://www.ensembl.org/id/ENSG00000117859	http://purl.uniprot.org/uniprot/Q96SU4	http://purl.obolibrary.org/obo/GO_0006869	lipid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/114883	https://www.ensembl.org/id/ENSG00000117859	http://purl.uniprot.org/uniprot/Q96SU4	http://purl.obolibrary.org/obo/GO_0055091	phospholipid homeostasis	GO BP
http://www.ncbi.nlm.nih.gov/gene/114883	https://www.ensembl.org/id/ENSG00000117859	http://purl.uniprot.org/uniprot/Q96SU4	http://purl.obolibrary.org/obo/GO_0120009	intermembrane lipid transfer	GO BP
http://www.ncbi.nlm.nih.gov/gene/114885	https://www.ensembl.org/id/ENSG00000144909	http://purl.uniprot.org/uniprot/Q9BXB4	http://purl.obolibrary.org/obo/GO_0006649	phospholipid transfer to membrane	GO BP
http://www.ncbi.nlm.nih.gov/gene/114885	https://www.ensembl.org/id/ENSG00000144909	http://purl.uniprot.org/uniprot/Q9BXB4	http://purl.obolibrary.org/obo/GO_0006869	lipid transport	GO BP
http://www.ncbi.nlm.nih.gov/gene/114885	https://www.ensembl.org/id/ENSG00000144909	http://purl.uniprot.org/uniprot/Q9BXB4	http://purl.obolibrary.org/obo/GO_0055091	phospholipid homeostasis	GO BP
http://www.ncbi.nlm.nih.gov/gene/114885	https://www.ensembl.org/id/ENSG00000144909	http://purl.uniprot.org/uniprot/Q9BXB4	http://purl.obolibrary.org/obo/GO_0070328	triglyceride homeostasis	GO BP
http://www.ncbi.nlm.nih.gov/gene/114885	https://www.ensembl.org/id/ENSG00000144909	http://purl.uniprot.org/uniprot/Q9BXB4	http://purl.obolibrary.org/obo/GO_0120009	intermembrane lipid transfer	GO BP
http://www.ncbi.nlm.nih.gov/gene/114971	https://www.ensembl.org/id/ENSG00000110536	http://purl.uniprot.org/uniprot/Q8WUK0	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/114971	https://www.ensembl.org/id/ENSG00000110536	http://purl.uniprot.org/uniprot/Q8WUK0	http://purl.obolibrary.org/obo/GO_0008654	phospholipid biosynthetic process	GO BP
http://www.ncbi.nlm.nih.gov/gene/116150	https://www.ensembl.org/id/ENSG00000153989	http://purl.uniprot.org/uniprot/Q96E22	http://purl.obolibrary.org/obo/GO_0006629	lipid metabolic process	GO BP
